case,reference_case,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-06,wide-svd,70_90,7.373646430846318,9.771390509615495,24.85624475503542,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-06,wide-svd,80_90,6.539736365376529,9.975579673785237,24.85624475503542,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-06,wide-svd,90,4.38407721584302,10.205967454436456,24.85624475503542,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,0_60,1.6800595640303315,4.13739358452428,10.18999191081177,1200.0,30.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,70_90,7.3737023333813925,9.77147519036568,24.85614391787079,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,80_90,6.539759445992357,9.97563505225648,24.85614391787079,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,90,4.383929310725291,10.205854252971667,24.85614391787079,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06,wide-svd,0_60,1.665591086659679,4.108459303644861,9.9722981428108,1200.0,30.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06,wide-svd,70_90,7.393771131392001,9.870671194862997,25.285651702291332,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06,wide-svd,80_90,6.557688563132833,10.11546314757932,25.285651702291332,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06,wide-svd,90,4.209127446722959,10.308318783561186,25.285651702291332,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-06,wide-svd,0_60,1.6655913450998414,4.10845955226734,9.972298146046853,1200.0,30.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-06,wide-svd,70_90,7.393770640891604,9.870670081183851,25.285651701837196,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-06,wide-svd,80_90,6.55768712199603,10.115461107068757,25.285651701837196,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-06,wide-svd,90,4.20912240293648,10.30831472206645,25.285651701837196,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-05,wide-svd,0_60,1.665520673002423,4.108409704182478,9.972020859131433,1200.0,30.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-05,wide-svd,70_90,7.393833716492696,9.870768578088121,25.28553158820847,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-05,wide-svd,80_90,6.557715020956688,10.115531502474,25.28553158820847,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap36-q3-reg1e-06-svd1e-05,wide-svd,90,4.208966940562327,10.308199900235714,25.28553158820847,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap24-q3-reg1e-06,wide-svd,0_60,1.7592528259738565,4.1912086524098395,10.406776209603024,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap24-q3-reg1e-06,wide-svd,70_90,7.337358193523189,9.701721825000593,24.22956967601875,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap24-q3-reg1e-06,wide-svd,80_90,6.474728825987779,9.852663014626883,24.22956967601875,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap24-q3-reg1e-06,wide-svd,90,4.565735903435639,10.24490641601732,24.22956967601875,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap24-q3-reg1e-06,wide-svd,0_60,1.757495186317121,4.192240722322397,10.392766397778743,1200.0,30.0
sweep-split-active-surface-compact-annular-az24-gap24-q3-reg1e-06,wide-svd,70_90,7.339049364799329,9.70211722544234,24.233970908703917,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap24-q3-reg1e-06,wide-svd,80_90,6.47514503050813,9.8516615271507,24.233970908703917,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap24-q3-reg1e-06,wide-svd,90,4.548619088728857,10.232343524128801,24.233970908703917,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg1e-06,wide-svd,0_60,1.7385623784209672,4.174696236414043,10.267015215135771,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg1e-06,wide-svd,70_90,7.340432886717998,9.738857987710684,24.482379001093506,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg1e-06,wide-svd,80_90,6.469674239680468,9.902516973834302,24.482379001093506,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg1e-06,wide-svd,90,4.392205723051608,10.209401916683765,24.482379001093506,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap28-q3-reg1e-06,wide-svd,0_60,1.7367012804371638,4.175285008264836,10.249760885743825,1200.0,30.0
sweep-split-active-surface-compact-annular-az24-gap28-q3-reg1e-06,wide-svd,70_90,7.342691845791557,9.740899488259616,24.493910007968758,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap28-q3-reg1e-06,wide-svd,80_90,6.470762849219385,9.90381026002155,24.493910007968758,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap28-q3-reg1e-06,wide-svd,90,4.373993395642958,10.199116862060961,24.493910007968758,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg1e-06,wide-svd,0_60,1.721513219195875,4.155044962990335,10.121065501850325,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg1e-06,wide-svd,70_90,7.343746556268603,9.78725013191533,24.764722220394837,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg1e-06,wide-svd,80_90,6.467130473283764,9.9706035314634,24.764722220394837,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap32-q3-reg1e-06,wide-svd,90,4.236215337601501,10.217607082782958,24.764722220394837,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap32-q3-reg1e-06,wide-svd,0_60,1.719892275345127,4.155298342957914,10.101649511964908,1200.0,30.0
sweep-split-active-surface-compact-annular-az24-gap32-q3-reg1e-06,wide-svd,70_90,7.346459193985934,9.791013605900565,24.780765336546125,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap32-q3-reg1e-06,wide-svd,80_90,6.468840297321314,9.974385285246372,24.780765336546125,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap32-q3-reg1e-06,wide-svd,90,4.218425445935928,10.211489119921684,24.780765336546125,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap42-q3-reg1e-06,wide-svd,0_60,1.6919330657147986,4.096254827701528,9.75142830467847,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap42-q3-reg1e-06,wide-svd,70_90,7.351015509586292,9.947854284691953,25.511578417006533,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap42-q3-reg1e-06,wide-svd,80_90,6.466153944477919,10.203933595200315,25.511578417006533,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap42-q3-reg1e-06,wide-svd,90,3.897705562407904,10.39223456174516,25.511578417006533,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap42-q3-reg1e-06,wide-svd,0_60,1.691043116541608,4.095999450072988,9.73052473375239,1200.0,30.0
sweep-split-active-surface-compact-annular-az24-gap42-q3-reg1e-06,wide-svd,70_90,7.354385328813694,9.95565258491907,25.53221617742041,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap42-q3-reg1e-06,wide-svd,80_90,6.468869989150676,10.213630404523771,25.53221617742041,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az24-gap42-q3-reg1e-06,wide-svd,90,3.8817799936954827,10.397736886420684,25.53221617742041,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-07,wide-svd,0_60,1.6025998409257554,4.138794889008434,9.895707069672824,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-07,wide-svd,70_90,7.4211793632161385,9.985733224764934,24.999413823935434,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-07,wide-svd,80_90,6.505567705822287,10.210863788696226,24.999413823935434,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-07,wide-svd,90,3.583178976154422,10.162786036813873,24.999413823935434,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-06,wide-svd,0_60,1.7340922771300378,3.9875684953867405,10.232386259533726,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-06,wide-svd,70_90,6.939784204236637,9.572644352432203,24.376197751378,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-06,wide-svd,80_90,6.144522484805213,9.867663751405633,24.376197751378,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap28-q3-reg3e-06,wide-svd,90,5.017961193964141,10.899763683227457,24.376197751378,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07,wide-svd,0_60,1.5914000275608873,4.119880498147947,9.821403866990764,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07,wide-svd,70_90,7.418354244011255,10.038841121825312,25.15335420304295,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07,wide-svd,80_90,6.505421798443667,10.293809385400522,25.15335420304295,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-07,wide-svd,90,3.526127293517762,10.277019617756972,25.15335420304295,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06,wide-svd,0_60,1.7289015975326243,3.9895651719788203,10.182780764359407,1200.0,30.0
sweep-split-active-surface-compact-annular-az16-gap30-q3-reg3e-06,wide-svd,70_90,6.950364831434789,9.576167406917305,24.366465084967636,1009.0756983044574,90.0
