case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
profile-ring-full,modal-full4-svd,source_cv_recommended_juan_only,True,6,0_60,-0.4384456427378101,1.2803974543401733,6.197603941206793,1100.4048518456054,60.0
profile-ring-full,modal-full4-svd,source_cv_recommended_juan_only,True,6,70_90,-3.390101371642562,6.059765960108071,15.896625168559197,300.0,90.0
profile-ring-full,modal-full4-svd,source_cv_recommended_juan_only,True,6,80_90,-4.584050687616356,7.173792315932347,15.896625168559197,300.0,90.0
profile-ring-full,modal-full4-svd,source_cv_recommended_juan_only,True,6,90,-8.645715220848034,9.732448642928718,15.896625168559197,300.0,90.0
profile-ring-full,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,0_60,0.00011880331360661753,0.002838176579949914,0.01648105001198985,1200.0,60.0
profile-ring-full,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,70_90,0.001379533220873769,0.006437765380538972,0.025594274185294807,346.6058090616819,90.0
profile-ring-full,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,80_90,0.0013270496246453646,0.006841750764272605,0.025594274185294807,346.6058090616819,90.0
profile-ring-full,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,90,0.0003448988143344655,0.007813861839307181,0.025594274185294807,346.6058090616819,90.0
profile-ring-full,profile-ring-full,source_cv_recommended_juan_only,True,6,0_60,0.0,0.0,0.0,300.0,0.0
profile-ring-full,profile-ring-full,source_cv_recommended_juan_only,True,6,70_90,0.0,0.0,0.0,300.0,70.0
profile-ring-full,profile-ring-full,source_cv_recommended_juan_only,True,6,80_90,0.0,0.0,0.0,300.0,80.0
profile-ring-full,profile-ring-full,source_cv_recommended_juan_only,True,6,90,0.0,0.0,0.0,300.0,90.0
profile-ring-full-svd,modal-compact2,source_cv_recommended_juan_only,True,6,0_60,0.575000276711632,1.0644478810197393,3.8493553656067547,824.3721884748535,60.0
profile-ring-full-svd,modal-compact2,source_cv_recommended_juan_only,True,6,70_90,-5.864489446623857,13.248776729772931,26.47564617855327,734.4321259827932,90.0
profile-ring-full-svd,modal-compact2,source_cv_recommended_juan_only,True,6,80_90,-9.964357528461703,16.11138139691102,26.47564617855327,734.4321259827932,90.0
profile-ring-full-svd,modal-compact2,source_cv_recommended_juan_only,True,6,90,-22.464231498588003,22.531221607160976,26.47564617855327,734.4321259827932,90.0
profile-ring-full-svd,modal-full2,source_cv_recommended_juan_only,True,6,0_60,0.6201399784363097,1.11515708943804,3.94420881148595,824.3721884748535,60.0
profile-ring-full-svd,modal-full2,source_cv_recommended_juan_only,True,6,70_90,-5.88972813551712,13.405858364716238,26.652087922511697,734.4321259827932,90.0
profile-ring-full-svd,modal-full2,source_cv_recommended_juan_only,True,6,80_90,-10.075142539129743,16.29497988602023,26.652087922511697,734.4321259827932,90.0
profile-ring-full-svd,modal-full2,source_cv_recommended_juan_only,True,6,90,-22.71324803243553,22.78962920534383,26.652087922511697,734.4321259827932,90.0
profile-ring-full-svd,modal-compact3,source_cv_recommended_juan_only,True,6,0_60,0.37636665652661483,0.9388601182973909,3.038550518282797,824.3721884748535,60.0
profile-ring-full-svd,modal-compact3,source_cv_recommended_juan_only,True,6,70_90,-5.264089456084407,11.570124259132296,22.20466570384552,412.18609423742674,90.0
profile-ring-full-svd,modal-compact3,source_cv_recommended_juan_only,True,6,80_90,-8.699909266266063,14.078973246028122,22.20466570384552,412.18609423742674,90.0
profile-ring-full-svd,modal-compact3,source_cv_recommended_juan_only,True,6,90,-19.473588455363274,19.669204186538618,22.20466570384552,412.18609423742674,90.0
profile-ring-full-svd,modal-full4-svd,source_cv_recommended_juan_only,True,6,0_60,-0.4385644460514167,1.2795971281511576,6.192401014532123,1100.4048518456054,60.0
profile-ring-full-svd,modal-full4-svd,source_cv_recommended_juan_only,True,6,70_90,-3.3914809048634362,6.0614519913392595,15.90608840934167,300.0,90.0
profile-ring-full-svd,modal-full4-svd,source_cv_recommended_juan_only,True,6,80_90,-4.585377737241002,7.175920866062039,15.90608840934167,300.0,90.0
profile-ring-full-svd,modal-full4-svd,source_cv_recommended_juan_only,True,6,90,-8.646060119662371,9.735226193469156,15.90608840934167,300.0,90.0
profile-ring-full-svd,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,0_60,0.0,0.0,0.0,300.0,0.0
profile-ring-full-svd,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,70_90,0.0,0.0,0.0,300.0,70.0
profile-ring-full-svd,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,80_90,0.0,0.0,0.0,300.0,80.0
profile-ring-full-svd,profile-ring-full-svd,source_cv_recommended_juan_only,True,6,90,0.0,0.0,0.0,300.0,90.0
profile-ring-full-svd,profile-ring-full,source_cv_recommended_juan_only,True,6,0_60,-0.00011880331360661753,0.002838176579949914,0.01648105001198985,1200.0,60.0
profile-ring-full-svd,profile-ring-full,source_cv_recommended_juan_only,True,6,70_90,-0.001379533220873769,0.006437765380538972,0.025594274185294807,346.6058090616819,90.0
profile-ring-full-svd,profile-ring-full,source_cv_recommended_juan_only,True,6,80_90,-0.0013270496246453646,0.006841750764272605,0.025594274185294807,346.6058090616819,90.0
profile-ring-full-svd,profile-ring-full,source_cv_recommended_juan_only,True,6,90,-0.0003448988143344655,0.007813861839307181,0.025594274185294807,346.6058090616819,90.0
modal-compact2,modal-compact2,source_cv_recommended_juan_only,True,6,0_60,0.0,0.0,0.0,300.0,0.0
modal-compact2,modal-compact2,source_cv_recommended_juan_only,True,6,70_90,0.0,0.0,0.0,300.0,70.0
modal-compact2,modal-compact2,source_cv_recommended_juan_only,True,6,80_90,0.0,0.0,0.0,300.0,80.0
modal-compact2,modal-compact2,source_cv_recommended_juan_only,True,6,90,0.0,0.0,0.0,300.0,90.0
modal-compact2,modal-full2,source_cv_recommended_juan_only,True,6,0_60,0.045139701724677954,0.06357996112153155,0.14208942395772794,377.97631496846196,60.0
modal-compact2,modal-full2,source_cv_recommended_juan_only,True,6,70_90,-0.02523868889326691,0.257211605139727,0.6036277106093664,300.0,90.0
