case,source_model,source_profile,rear_phase,mode_count,basis_kind,side_gap_mm,rear_basket_mode_count,half_depth_mm,radii_mm,front_depth_mm,rear_depth_mm,front_radii_mm,rear_radii_mm,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg,fit_front_norm_rms_db_300_1200,fit_rear_norm_rms_db_300_1200,fit_side_worst_norm_rms_db_300_1200,fit_front_abs_rms_db_300_1200,fit_rear_abs_rms_db_300_1200,fit_side_worst_abs_rms_db_300_1200,fit_front_phase_rms_deg_300_1200,fit_rear_phase_rms_deg_300_1200,fit_side_worst_phase_rms_deg_300_1200,design_cond_max,effective_cond_max,source_count,basis_count
physical-diaphragm-compact-coupled-measured-az24-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,measured,4,physical-diaphragm,0.0,0,,,,,,,90,0.10183285966954897,0.10729823909773883,0.1806615440222359,1200.0,90.0,2.0636759008326915,4.216117680694408,4.216117680694408,2.217685319235002,5.61184996984058,5.61184996984058,55.380318071386995,68.8387594969572,68.8387594969572,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-measured-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,measured,4,physical-diaphragm,0.0,0,,,,,,,0_60,0.00917923586597138,0.017195490095309816,0.0535321635150936,713.5242690016327,60.0,2.7797381012512643,5.544733914853424,5.544733914853424,2.986455099343744,6.990321021049183,6.990321021049183,59.160097393270455,73.2520852311041,73.2520852311041,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-measured-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,measured,4,physical-diaphragm,0.0,0,,,,,,,70_90,0.08078131428380232,0.1315693226929021,0.6932175610416706,1132.6491752180323,80.0,2.7797381012512643,5.544733914853424,5.544733914853424,2.986455099343744,6.990321021049183,6.990321021049183,59.160097393270455,73.2520852311041,73.2520852311041,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-measured-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,measured,4,physical-diaphragm,0.0,0,,,,,,,80_90,0.1108346452378901,0.1543616148508398,0.6932175610416706,1132.6491752180323,80.0,2.7797381012512643,5.544733914853424,5.544733914853424,2.986455099343744,6.990321021049183,6.990321021049183,59.160097393270455,73.2520852311041,73.2520852311041,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-measured-az24-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,measured,4,physical-diaphragm,0.0,0,,,,,,,90,0.11347352968294436,0.12063169404086622,0.18775537062999348,1200.0,90.0,2.7797381012512643,5.544733914853424,5.544733914853424,2.986455099343744,6.990321021049183,6.990321021049183,59.160097393270455,73.2520852311041,73.2520852311041,33111.576545466814,33111.576545466814,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,0_60,0.027433287101191525,0.045319538447919326,0.19423942595516053,1200.0,60.0,3.418771241228648,4.636352823161292,4.636352823161292,3.3400360656935937,4.3364723638890785,4.3364723638890785,61.88075441656487,23.525800088361333,61.88075441656487,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,70_90,0.14089509979329173,0.16389571175040255,0.3760673979733653,1200.0,90.0,3.418771241228648,4.636352823161292,4.636352823161292,3.3400360656935937,4.3364723638890785,4.3364723638890785,61.88075441656487,23.525800088361333,61.88075441656487,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,80_90,0.15986921739403503,0.18121255241162532,0.3760673979733653,1200.0,90.0,3.418771241228648,4.636352823161292,4.636352823161292,3.3400360656935937,4.3364723638890785,4.3364723638890785,61.88075441656487,23.525800088361333,61.88075441656487,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg1e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,90,0.18485058380145994,0.2036880449816056,0.3760673979733653,1200.0,90.0,3.418771241228648,4.636352823161292,4.636352823161292,3.3400360656935937,4.3364723638890785,4.3364723638890785,61.88075441656487,23.525800088361333,61.88075441656487,37641.93822963838,37641.93822963838,4,4
physical-diaphragm-compact-coupled-dipole-az16-q3-reg3e-06,active-surface-modal,h1659-acoustic-compact,dipole,4,physical-diaphragm,0.0,0,,,,,,,0_60,0.03010785533826643,0.049803886363235524,0.16470303467976777,1165.838329384327,60.0,3.301190552978025,4.298861722140064,4.298861722140064,3.124431203048401,4.099853647900193,4.099853647900193,66.33998610836349,24.5003067567734,66.33998610836349,37641.93822963838,37641.93822963838,4,4
