frequency_hz,angle_deg,max_pairwise_abs_db,low_case,high_case,eligible_reference_count
436.6959548526562,0.0,0.0,modal-compact2,modal-compact2,6
436.6959548526562,10.0,0.052353377749540186,modal-full2,profile-ring-full-svd,6
436.6959548526562,20.0,0.2071812495855454,modal-full2,profile-ring-full-svd,6
436.6959548526562,30.0,0.4584430456733912,modal-full2,profile-ring-full-svd,6
436.6959548526562,40.0,0.7990342159915542,modal-full2,profile-ring-full-svd,6
436.6959548526562,50.0,1.2287121067050322,modal-full2,profile-ring-full-svd,6
436.6959548526562,60.0,1.7759208760726963,modal-full2,profile-ring-full-svd,6
436.6959548526562,70.0,2.5510950989661083,modal-full2,profile-ring-full-svd,6
436.6959548526562,80.0,3.3488280368786363,modal-compact2,profile-ring-full-svd,6
436.6959548526562,90.0,23.80817516347522,profile-ring-full-svd,modal-full2,6
449.49212306300444,0.0,0.0,modal-compact2,modal-compact2,6
449.49212306300444,10.0,0.054641147382952227,modal-full2,profile-ring-full-svd,6
449.49212306300444,20.0,0.21617517829789534,modal-full2,profile-ring-full-svd,6
449.49212306300444,30.0,0.4780100992566716,modal-full2,profile-ring-full-svd,6
449.49212306300444,40.0,0.8318087562452448,modal-full2,profile-ring-full-svd,6
449.49212306300444,50.0,1.2746928795291126,modal-full2,profile-ring-full-svd,6
449.49212306300444,60.0,1.82880465975078,modal-full2,profile-ring-full-svd,6
449.49212306300444,70.0,2.5828727312393553,modal-full2,profile-ring-full-svd,6
449.49212306300444,80.0,3.216307666955956,modal-compact2,profile-ring-full-svd,6
449.49212306300444,90.0,23.72073690059532,profile-ring-full-svd,modal-full2,6
462.66324762238224,0.0,0.0,modal-compact2,modal-compact2,6
462.66324762238224,10.0,0.05704491526704203,modal-full2,modal-full4-svd,6
462.66324762238224,20.0,0.22490696810507416,modal-full2,modal-full4-svd,6
462.66324762238224,30.0,0.4969673470913065,modal-full2,profile-ring-full-svd,6
462.66324762238224,40.0,0.8636937779584528,modal-full2,profile-ring-full-svd,6
462.66324762238224,50.0,1.3197171622706065,modal-full2,profile-ring-full-svd,6
462.66324762238224,60.0,1.8812687544940658,modal-full2,profile-ring-full-svd,6
462.66324762238224,70.0,2.6167746437137183,modal-full2,profile-ring-full-svd,6
462.66324762238224,80.0,3.1003130653194617,modal-compact2,profile-ring-full-svd,6
462.66324762238224,90.0,23.578895763089008,profile-ring-full-svd,modal-full2,6
476.2203155904598,0.0,0.0,modal-compact2,modal-compact2,6
476.2203155904598,10.0,0.06000363799348207,modal-full2,modal-full4-svd,6
476.2203155904598,20.0,0.23654717359316635,modal-full2,modal-full4-svd,6
