case,rank,frequency_hz,angle_deg,signed_delta_db,abs_delta_db
legacy-strongest-andres minus published-parity-andres,15,1072.6318988204002,80.0,-26.502452850341797,26.502452850341797
legacy-strongest-andres minus published-parity-andres,16,644.5312780439854,70.0,-26.501441955566406,26.501441955566406
legacy-strongest-andres minus published-parity-andres,17,644.165067076683,70.0,-26.499969482421875,26.499969482421875
legacy-strongest-andres minus published-parity-andres,18,644.8974890112877,70.0,-26.496829986572266,26.496829986572266
legacy-strongest-andres minus published-parity-andres,19,643.7988561093807,70.0,-26.49243927001953,26.49243927001953
legacy-strongest-andres minus published-parity-andres,20,645.26369997859,70.0,-26.486099243164062,26.486099243164062
legacy-strongest-andres minus published-parity-andres,21,643.4326451420784,70.0,-26.47893524169922,26.47893524169922
legacy-strongest-andres minus published-parity-andres,22,645.6299109458923,70.0,-26.46923065185547,26.46923065185547
legacy-strongest-andres minus published-parity-andres,23,643.0664341747761,70.0,-26.459491729736328,26.459491729736328
legacy-strongest-andres minus published-parity-andres,24,645.9961219131947,70.0,-26.44632339477539,26.44632339477539
legacy-strongest-andres minus published-parity-andres,25,642.7002232074738,70.0,-26.434295654296875,26.434295654296875
legacy-strongest-andres minus published-parity-andres,26,646.362332880497,70.0,-26.41742706298828,26.41742706298828
legacy-strongest-andres minus published-parity-andres,27,642.3340122401714,70.0,-26.403411865234375,26.403411865234375
legacy-strongest-andres minus published-parity-andres,28,646.7285438477993,70.0,-26.382572174072266,26.382572174072266
legacy-strongest-andres minus published-parity-andres,29,641.9678012728691,70.0,-26.367034912109375,26.367034912109375
legacy-strongest-andres minus published-parity-andres,30,647.0947548151016,70.0,-26.341983795166016,26.341983795166016
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,1,322.26562681794167,90.0,21.232682298715247,21.232682298715247
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,2,322.631837785244,90.0,21.23255431661405,21.23255431661405
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,3,321.89941585063934,90.0,21.2324495068181,21.2324495068181
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,4,322.9980487525463,90.0,21.232019765157595,21.232019765157595
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,5,321.533204883337,90.0,21.231899829080454,21.231899829080454
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,6,323.36425971984863,90.0,21.231172085588554,21.231172085588554
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,7,321.1669939160347,90.0,21.23093791735984,21.23093791735984
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,8,323.73047068715096,90.0,21.229845319884767,21.229845319884767
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,9,320.8007829487324,90.0,21.2295752351871,21.2295752351871
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,10,324.0966816544533,90.0,21.22822064762439,21.22822064762439
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,11,320.43457198143005,90.0,21.227762211087104,21.227762211087104
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,12,324.4628926217556,90.0,21.22612448168868,21.22612448168868
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,13,320.06836101412773,90.0,21.225744912773095,21.225744912773095
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,14,324.8291035890579,90.0,21.223638819824366,21.223638819824366
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,15,319.7021500468254,90.0,21.22323916518897,21.22323916518897
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,16,325.19531455636024,90.0,21.22087427015631,21.22087427015631
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,17,319.3359390795231,90.0,21.220399483614976,21.220399483614976
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,18,325.56152552366257,90.0,21.217661060708522,21.217661060708522
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,19,318.96972811222076,90.0,21.2172678499129,21.2172678499129
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,20,325.9277364909649,90.0,21.21400298837893,21.21400298837893
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,21,318.60351714491844,90.0,21.213708862672902,21.213708862672902
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,22,326.2939474582672,90.0,21.21002782787457,21.21002782787457
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,23,318.2373061776161,90.0,21.209934258087678,21.209934258087678
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,24,317.8710952103138,90.0,21.205698008829565,21.205698008829565
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,25,326.66015842556953,90.0,21.205649731003383,21.205649731003383
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,26,317.5048842430115,90.0,21.201045912063577,21.201045912063577
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,27,327.02636939287186,90.0,21.200765683583406,21.200765683583406
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,28,317.13867327570915,90.0,21.196170630951357,21.196170630951357
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,29,327.3925803601742,90.0,21.195642697214858,21.195642697214858
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,30,316.77246230840683,90.0,21.19100352204414,21.19100352204414
