candidate,angle_group,source_model,source_point_profile,acoustic_center_offset_mm,half_depth_mm,ring_radii_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_regularization,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_area_m2,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
d35_r0-35-70-95_svd1e-5_ac+20mm,80_90,split-discrete,symmetric_depth_rings,20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.316558516422885,1.9572107738091697,2.627206255113616,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-0.7044035046435226,16.71234576861608,16.712445625268973,16.770118493947997,300.293,90.0
d35_r0-35-70-95_svd1e-5_ac+20mm,90,split-discrete,symmetric_depth_rings,20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.316558516422885,1.9572107738091697,2.627206255113616,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-0.7044035046435226,16.71234576861608,16.712445625268973,16.770118493947997,300.293,90.0
d55_r0-35-70-95_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5773908426960612,2.8157712740154666,2.3145883531324403,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-2.0283650250291707,0.6681467665883993,1.1955438369790141,2.639770520875203,300.293,60.0
d55_r0-35-70-95_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5773908426960612,2.8157712740154666,2.3145883531324403,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-11.554751546819757,12.029409555864724,13.102940832371205,17.46855636877438,300.293,75.0
d55_r0-35-70-95_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5773908426960612,2.8157712740154666,2.3145883531324403,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-10.578539735917182,6.8382095373424185,6.838365680988699,6.884421119475178,304.321,90.0
d55_r0-35-70-95_svd1e-5_ac-20mm,90,split-discrete,symmetric_depth_rings,-20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5773908426960612,2.8157712740154666,2.3145883531324403,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-10.578539735917182,6.8382095373424185,6.838365680988699,6.884421119475178,304.321,90.0
d55_r0-35-70-95_svd1e-5_ac+0mm,0_60,split-discrete,symmetric_depth_rings,0.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5797654971662367,2.5314358245530486,2.627206255113623,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-2.7295142855624746,-0.03300249394490464,0.3520161608718804,0.6472166100544356,304.321,45.0
d55_r0-35-70-95_svd1e-5_ac+0mm,70_90,split-discrete,symmetric_depth_rings,0.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5797654971662367,2.5314358245530486,2.627206255113623,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-16.42449936722366,7.159661735460819,11.850889874050928,16.82128177234815,300.293,75.0
d55_r0-35-70-95_svd1e-5_ac+0mm,80_90,split-discrete,symmetric_depth_rings,0.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5797654971662367,2.5314358245530486,2.627206255113623,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-19.699468636497826,-2.2827193632382254,2.2828249241825085,2.304672567244623,300.293,90.0
d55_r0-35-70-95_svd1e-5_ac+0mm,90,split-discrete,symmetric_depth_rings,0.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.5797654971662367,2.5314358245530486,2.627206255113623,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-19.699468636497826,-2.2827193632382254,2.2828249241825085,2.304672567244623,300.293,90.0
d55_r0-35-70-95_svd1e-5_ac+20mm,0_60,split-discrete,symmetric_depth_rings,20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.6060389797004166,2.231838342106795,2.932878439713786,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-2.2134686222061846,0.48304316941138553,0.8989365783119727,2.0249800331949785,300.293,60.0
d55_r0-35-70-95_svd1e-5_ac+20mm,70_90,split-discrete,symmetric_depth_rings,20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.6060389797004166,2.231838342106795,2.932878439713786,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-15.920189655772102,7.663971446912379,14.746784191379934,20.448308421781846,300.293,75.0
d55_r0-35-70-95_svd1e-5_ac+20mm,80_90,split-discrete,symmetric_depth_rings,20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.6060389797004166,2.231838342106795,2.932878439713786,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-22.350655761991014,-4.933906488731413,4.935380491873487,5.0545189259816325,304.321,90.0
d55_r0-35-70-95_svd1e-5_ac+20mm,90,split-discrete,symmetric_depth_rings,20.0,55.0,0 35 70 95,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.6060389797004166,2.231838342106795,2.932878439713786,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-22.350655761991014,-4.933906488731413,4.935380491873487,5.0545189259816325,304.321,90.0
d65_r0-35-70-95_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.7161512056694916,2.9422492691412216,2.4694379891703324,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-3.5630729907336955,-0.8665611991161256,1.1300724395179276,2.008663550868796,304.321,45.0
d65_r0-35-70-95_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.7161512056694916,2.9422492691412216,2.4694379891703324,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-15.592841582962736,7.9913195197217455,8.002820584336911,8.726264025111455,300.293,75.0
d65_r0-35-70-95_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.7161512056694916,2.9422492691412216,2.4694379891703324,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-9.719906486294565,7.6968427869650355,7.696872300737416,7.718157725463328,304.321,90.0
d65_r0-35-70-95_svd1e-5_ac-20mm,90,split-discrete,symmetric_depth_rings,-20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.7161512056694916,2.9422492691412216,2.4694379891703324,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-9.719906486294565,7.6968427869650355,7.696872300737416,7.718157725463328,304.321,90.0
d65_r0-35-70-95_svd1e-5_ac+0mm,0_60,split-discrete,symmetric_depth_rings,0.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.730972575889576,2.677798950153336,2.783130468210138,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-3.2924071689050876,-0.5958953772875176,0.9199543906977915,1.4850148575662345,304.321,45.0
d65_r0-35-70-95_svd1e-5_ac+0mm,70_90,split-discrete,symmetric_depth_rings,0.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.730972575889576,2.677798950153336,2.783130468210138,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-17.81701949283981,5.767141609844673,10.2102532843328,14.43222978391919,300.293,75.0
d65_r0-35-70-95_svd1e-5_ac+0mm,80_90,split-discrete,symmetric_depth_rings,0.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.730972575889576,2.677798950153336,2.783130468210138,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-20.07338286093153,-2.65663358767193,2.6567258937183276,2.6787798109801386,300.293,90.0
d65_r0-35-70-95_svd1e-5_ac+0mm,90,split-discrete,symmetric_depth_rings,0.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.730972575889576,2.677798950153336,2.783130468210138,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-20.07338286093153,-2.65663358767193,2.6567258937183276,2.6787798109801386,300.293,90.0
d65_r0-35-70-95_svd1e-5_ac+20mm,0_60,split-discrete,symmetric_depth_rings,20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.748883381707622,2.381093284497877,3.072965093029171,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-2.484315956966614,0.21219583465095582,0.4324782819744991,0.9378468748279687,300.293,60.0
d65_r0-35-70-95_svd1e-5_ac+20mm,70_90,split-discrete,symmetric_depth_rings,20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.748883381707622,2.381093284497877,3.072965093029171,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-17.12319433795574,6.46096676472874,14.354973148899308,19.474502522602165,300.293,75.0
d65_r0-35-70-95_svd1e-5_ac+20mm,80_90,split-discrete,symmetric_depth_rings,20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.748883381707622,2.381093284497877,3.072965093029171,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-23.77371526030687,-6.356965987047268,6.3573800505993745,6.429523187124616,304.321,90.0
d65_r0-35-70-95_svd1e-5_ac+20mm,90,split-discrete,symmetric_depth_rings,20.0,65.0,0 35 70 95,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.748883381707622,2.381093284497877,3.072965093029171,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-23.77371526030687,-6.356965987047268,6.3573800505993745,6.429523187124616,304.321,90.0
d45_r0-30-60-90_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.458462319501986,2.6964100729350506,2.1948682583236208,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,0.3275943533912361,3.024106145008806,4.000821134863921,7.383539087979315,304.321,60.0
d45_r0-30-60-90_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.458462319501986,2.6964100729350506,2.1948682583236208,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-6.575951914573979,17.008209188110502,19.263823746120476,26.18257414439485,300.293,75.0
d45_r0-30-60-90_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 30 60 90,45.0,45.0,0 30 60 90,0 30 60 90,14,1e-05,1e-06,2.458462319501986,2.6964100729350506,2.1948682583236208,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-9.453183932105102,7.963565341154499,7.963782506460784,8.022377477432897,304.321,90.0
