candidate,rms_0_60_db,mean_0_60_db,max_abs_0_60_db,source_model,half_depth_mm,ring_radii_mm,source_point_profile,acoustic_center_offset_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_fit_rms_db_300_1200,rms_70_90_db,mean_70_90_db,max_abs_70_90_db,rms_80_90_db,mean_80_90_db,max_abs_80_90_db,rms_90_db,mean_90_db,max_abs_90_db,hotspot_score_db
d45_r0-35-70-95-110_svd1e-5_ac+0mm,1.805532059113217,-1.4049233404341834,3.3153848924178035,split-discrete,45.0,0 35 70 95 110,symmetric_depth_rings,0.0,45.0,45.0,0 35 70 95 110,0 35 70 95 110,18,1e-05,2.3353472197166227,11.722744736132503,8.649310807412968,16.73124932411031,0.7382092934490515,0.7374742920938182,0.770408004840327,0.7382092934490515,0.7374742920938182,0.770408004840327,12.02827679524572
d45_r0-35-70-95-110_svd1e-6_ac+0mm,1.805532059113217,-1.4049233404341834,3.3153848924178035,split-discrete,45.0,0 35 70 95 110,symmetric_depth_rings,0.0,45.0,45.0,0 35 70 95 110,0 35 70 95 110,18,1e-06,2.3353522173707946,11.722744736132503,8.649310807412968,16.73124932411031,0.7382092934490515,0.7374742920938182,0.770408004840327,0.7382092934490515,0.7374742920938182,0.770408004840327,12.02827679524572
asym_f55r45_front25_rear35_svd1e-5_ac+0mm,0.9599786376652824,0.577022302673118,2.129713437645165,split-discrete,nan,,asymmetric_depth_rings,0.0,55.0,45.0,0 25 50 75 95,0 35 70 95,16,1e-05,2.4937253909625494,12.957879636968462,9.607720804263419,18.49904524547781,0.9150641320256493,0.914161987572438,0.9547849637985166,0.9150641320256493,0.914161987572438,0.9547849637985166,12.957879636968462
asym_f55r45_front25_rear35_svd1e-6_ac+0mm,0.9644831710210703,0.58419364378518,2.135719943532287,split-discrete,nan,,asymmetric_depth_rings,0.0,55.0,45.0,0 25 50 75 95,0 35 70 95,16,1e-06,2.493682764034254,12.960652358228035,9.618576076818163,18.501608005643803,0.933788751932481,0.9328872581171801,0.9739091654135308,0.933788751932481,0.9328872581171801,0.9739091654135308,12.960652358228035
d55_r0-35-70-95_svd1e-5_ac-20mm,1.1955438369790141,0.6681467665883993,2.639770520875203,split-discrete,55.0,0 35 70 95,symmetric_depth_rings,-20.0,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.5773908426960612,13.102940832371205,12.029409555864724,17.46855636877438,6.838365680988699,6.8382095373424185,6.884421119475178,6.838365680988699,6.8382095373424185,6.884421119475178,13.102940832371205
d55_r0-35-70-95_svd1e-6_ac-20mm,1.2033010180114503,0.6802914474272967,2.6533263648886347,split-discrete,55.0,0 35 70 95,symmetric_depth_rings,-20.0,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-06,2.577355012556186,13.132820347105257,12.063066369357948,17.49875168313529,6.874620537164221,6.874451980989676,6.922592307818633,6.874620537164221,6.874451980989676,6.922592307818633,13.132820347105257
asym_f45r55_front35_rear25_svd1e-5_ac+0mm,0.6811159447734385,0.2625980291687938,1.54625946549141,split-discrete,nan,,asymmetric_depth_rings,0.0,45.0,55.0,0 35 70 95,0 25 50 75 95,16,1e-05,2.499282955978916,13.304033427548257,7.5262526476832345,18.685088074303884,3.44349308113742,-3.4434727452225147,3.4553071337153582,3.44349308113742,-3.4434727452225147,3.4553071337153582,13.304033427548257
asym_f45r55_front35_rear25_svd1e-6_ac+0mm,0.6885126583948982,0.27434434480147873,1.5635998043077564,split-discrete,nan,,asymmetric_depth_rings,0.0,45.0,55.0,0 35 70 95,0 25 50 75 95,16,1e-06,2.4992402403149314,13.32427791334322,7.524491108164231,18.706258724921383,3.471088193713867,-3.4709964640173965,3.496231267732256,3.471088193713867,-3.4709964640173965,3.496231267732256,13.32427791334322
d55_r0-25-50-75-95_svd1e-5_ac-20mm,1.2666581429783572,0.6482093338762709,2.8087759992669348,split-discrete,55.0,0 25 50 75 95,symmetric_depth_rings,-20.0,55.0,55.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.564079718709414,13.367554802205072,12.391512293185672,17.64285205855041,7.380491161796434,7.380331791326405,7.428833742751593,7.380491161796434,7.380331791326405,7.428833742751593,13.367554802205072
d55_r0-25-50-75-95_svd1e-6_ac-20mm,1.2747050808264315,0.6641483418317229,2.824244092264834,split-discrete,55.0,0 25 50 75 95,symmetric_depth_rings,-20.0,55.0,55.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.5640332767363865,13.397871690509048,12.429910486433903,17.66964039098925,7.433125707096142,7.432955673913973,7.483232180590512,7.433125707096142,7.432955673913973,7.483232180590512,13.397871690509048
h1659-modal-full2-az24-reg1e-06_ac-20mm,1.0589389966445124,0.72015974935194,2.1143623589659626,split-profile-ring,nan,,h1659-modal-full-2,-20.0,nan,nan,,,484,,1.8710385477506508,13.815413947975566,6.0770171710867,18.63832266906369,6.329717311277141,-6.329527352149789,6.378565491074603,6.329717311277141,-6.329527352149789,6.378565491074603,13.815413947975566
