variant,diagnostic_only,rationale,angle_group,wmax_mm,thickness_mm,mic_z_offset_mm,passive_aperture_treatment,mounted_um_cutout,include_passive_um_driver,include_passive_tweeter_drivers,source_model,source_point_profile,source_count,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_vertices,solver_max_relative_residual,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
open_passive_holes,True,custom CLI variant,80_90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,7.962710300600542e-16,300.293 304.321,80.0,90.0,-17.416749257095596,-20.188945302735792,-2.7721960456401966,2.7731972914197236,2.8467098139957656,300.2929915487766,90.0
open_passive_holes,True,custom CLI variant,90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,7.962710300600542e-16,300.293 304.321,90.0,90.0,-17.416749257095596,-20.188945302735792,-2.7721960456401966,2.7731972914197236,2.8467098139957656,300.2929915487766,90.0
um_plus_tweeter_faces,True,custom CLI variant,0_60,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,9.418187484627196e-16,300.293 304.321,0.0,60.0,-2.69651179012009,-1.8811314082933734,0.8153803818267165,1.2090495047202794,2.424770142458712,300.2929915487766,60.0
um_plus_tweeter_faces,True,custom CLI variant,70_90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,9.418187484627196e-16,300.293 304.321,70.0,90.0,-23.58416124371215,-12.97349495856168,10.610666285150469,13.945871644544203,19.80818324188786,300.2929915487766,75.0
um_plus_tweeter_faces,True,custom CLI variant,80_90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,9.418187484627196e-16,300.293 304.321,80.0,90.0,-17.416749257095596,-15.855363819671481,1.5613854374241143,1.5617863620475327,1.5967712605397963,304.321,90.0
um_plus_tweeter_faces,True,custom CLI variant,90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,9.418187484627196e-16,300.293 304.321,90.0,90.0,-17.416749257095596,-15.855363819671481,1.5613854374241143,1.5617863620475327,1.5967712605397963,304.321,90.0
width205_um_face,True,custom CLI variant,0_60,205.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,780,621,1.297583460958178e-15,300.293 304.321,0.0,60.0,-2.69651179012009,-1.9431683669326347,0.7533434231874552,1.10747126743559,2.2026284474376396,300.2929915487766,60.0
width205_um_face,True,custom CLI variant,70_90,205.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,780,621,1.297583460958178e-15,300.293 304.321,70.0,90.0,-23.58416124371215,-14.697380950001904,8.886780293710245,13.301052468161396,18.92087882234886,300.2929915487766,75.0
width205_um_face,True,custom CLI variant,80_90,205.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,780,621,1.297583460958178e-15,300.293 304.321,80.0,90.0,-17.416749257095596,-18.42598082530054,-1.009231568204946,1.011753148062088,1.0806183621666534,300.2929915487766,90.0
width205_um_face,True,custom CLI variant,90,205.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,780,621,1.297583460958178e-15,300.293 304.321,90.0,90.0,-17.416749257095596,-18.42598082530054,-1.009231568204946,1.011753148062088,1.0806183621666534,300.2929915487766,90.0
width405_um_face,True,custom CLI variant,0_60,405.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,976,731,9.123972559563926e-16,300.293 304.321,0.0,60.0,-2.69651179012009,-1.869232048436929,0.8272797416831608,1.2238718928272325,2.4546878394167777,300.2929915487766,60.0
width405_um_face,True,custom CLI variant,70_90,405.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,976,731,9.123972559563926e-16,300.293 304.321,70.0,90.0,-23.58416124371215,-12.991838972740997,10.592322270971152,13.981281222197474,19.87024171890438,300.2929915487766,75.0
width405_um_face,True,custom CLI variant,80_90,405.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,976,731,9.123972559563926e-16,300.293 304.321,80.0,90.0,-17.416749257095596,-15.94949356477808,1.467255692317515,1.467536092022397,1.4959421830443134,304.321,90.0
width405_um_face,True,custom CLI variant,90,405.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,976,731,9.123972559563926e-16,300.293 304.321,90.0,90.0,-17.416749257095596,-15.94949356477808,1.467255692317515,1.467536092022397,1.4959421830443134,304.321,90.0
